student_id,minutes_watched,paid_in_q2
4135,0.0833,1
4143,76.6000,1
4156,377.0500,1
4158,19.9667,1
4160,120.4833,1
4162,0.5500,1
4186,226.7500,1
4220,39.9000,1
4230,262.8000,1
4231,669.9167,1
4241,29.0500,1
4266,165.3000,1
4294,51.4333,1
4311,4.5833,1
4320,5.1333,1
4322,51.8000,1
4337,1018.6167,1
4347,34.9833,1
4360,410.6667,1
4363,55.5167,1
4371,13.9000,1
4376,214.6833,1
4377,42.0333,1
4381,15.0833,1
4384,398.3167,1
4393,117.2167,1
4395,1.3000,1
4400,1037.7667,1
4402,324.8000,1
4404,615.3500,1
4413,833.6500,1
4435,806.3167,1
4450,0.3500,1
4458,69.9333,1
4464,33.9000,1
4514,306.1500,1
4515,87.0500,1
4522,0.6667,1
4537,169.5833,1
4539,0.0500,1
4544,49.5500,1
4551,0.1333,1
4553,0.1167,1
4568,20.7167,1
4574,36.1000,1
4582,24.7500,1
4585,635.9667,1
4593,2.8000,1
4595,59.7000,1
4609,19.2167,1
4613,130.8333,1
4615,0.3667,1
4617,1127.9000,1
4621,1119.2167,1
4629,1812.8333,1
4640,293.8167,1
4646,149.3667,1
4685,6.2833,1
4686,4.6833,1
4692,106.0500,1
4698,6.4667,1
4706,304.3833,1
4707,1308.0500,1
4721,2416.6500,1
4723,103.8167,1
4739,768.9667,1
4743,18.3500,1
4745,56.3000,1
4751,0.2500,1
4756,96.7500,1
4784,13.3667,1
4790,411.3000,1
4793,5.1333,1
4795,255.0167,1
4797,5.2667,1
4801,359.4000,1
4803,109.1500,1
4827,10.3833,1
4828,0.4833,1
4829,993.8333,1
4837,408.7500,1
4849,680.8333,1
4861,5.4000,1
4869,50.5833,1
4872,360.7000,1
4874,391.6167,1
4877,12.6000,1
4884,0.1000,1
4898,153.4333,1
4917,1.9000,1
4921,275.7833,1
4927,39.9667,1
4939,346.8667,1
4946,22.5667,1
4958,1449.2333,1
4969,5.1833,1
4972,48.2167,1
4991,946.7667,1
5010,391.4667,1
5028,819.1833,1
5036,964.1500,1
5058,15.6833,1
5063,0.1000,1
5064,252.1667,1
5070,181.5667,1
5071,315.3167,1
5076,348.3833,1
5080,1340.8167,1
5088,0.7833,1
5098,281.5333,1
5104,253.4000,1
5130,875.0833,1
5136,13.9000,1
5143,30.1167,1
5153,59.7833,1
5155,54.6000,1
5203,227.0500,1
5212,415.7167,1
5221,0.0667,1
5223,585.8667,1
5227,0.3333,1
5262,426.5167,1
5274,22.0833,1
5279,139.4167,1
5286,226.6000,1
5299,265.1000,1
5309,710.5333,1
5321,888.5000,1
5323,96.4000,1
5325,166.5000,1
5334,11.4833,1
5336,589.0333,1
5340,260.8000,1
5358,14.9833,1
5373,244.5833,1
5380,0.8667,1
5382,569.2667,1
5385,334.8833,1
5389,0.3333,1
5391,357.5500,1
5392,12.3167,1
5424,14.4000,1
5427,41.4833,1
5434,461.1500,1
5450,19.7667,1
5453,1559.0167,1
5502,244.8333,1
5511,0.0667,1
5515,7.2833,1
5543,975.4167,1
5567,761.9000,1
5574,9.0833,1
5577,252.5333,1
5578,16.0167,1
5579,7.3833,1
5589,146.5167,1
5591,6.3500,1
5598,28.1333,1
5601,245.8000,1
5612,173.0500,1
5632,112.4833,1
5633,2118.7667,1
5638,19.2667,1
5644,0.0667,1
5663,27.6000,1
5671,29.2000,1
5676,6.6167,1
5686,136.9667,1
5687,48.3000,1
5704,0.5500,1
